project,review_number,diff_density_design,diff_diversity_design,diff_density_impl,diff_diversity_impl,number_revisions,status,is_rebase,pattern_density_design,pattern_density_impl,pattern_diversity_design,pattern_diversity_impl
couchbase-java-client,12050,-5,-5,-24,-15,5,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,12150,2,2,21,12,1,MERGED,undefined,negative,negative,negative,negative
couchbase-java-client,12151,0,0,0,0,1,MERGED,undefined,invariant,invariant,invariant,invariant
couchbase-java-client,12159,2,2,8,7,3,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,12160,-1,-1,-4,-4,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,12285,-6,-6,-30,-20,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,12674,1,1,-63,-40,2,MERGED,undefined,negative,positive,negative,positive
couchbase-java-client,12690,1,1,-46,-33,1,MERGED,undefined,negative,positive,negative,positive
couchbase-java-client,12907,1,1,-46,-32,5,MERGED,undefined,negative,positive,negative,positive
couchbase-java-client,13046,1,1,-7,-4,5,MERGED,undefined,negative,positive,negative,positive
couchbase-java-client,13082,-2,-2,-10,-3,1,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,13083,1,1,1,1,6,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,13085,1,1,-77,-46,4,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,13373,0,0,0,0,2,MERGED,yes,invariant,invariant,invariant,invariant
couchbase-java-client,13394,0,0,2,1,1,MERGED,undefined,invariant,negative,invariant,negative
couchbase-java-client,13688,24,25,41,27,12,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,13847,-3,-4,-21,-18,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,13848,-1,-2,-3,-4,4,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,13849,0,-1,10,2,10,MERGED,yes,invariant,negative,positive,negative
couchbase-java-client,14485,-4,-4,-27,-16,4,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,14513,-1,-1,-16,-2,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,14562,-28,-29,-55,-42,1,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,14574,3,3,20,16,2,MERGED,undefined,negative,negative,negative,negative
couchbase-java-client,14959,-27,-28,-54,-41,5,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,15435,-4,-4,-27,-23,1,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,15462,1,1,-81,-50,1,MERGED,undefined,negative,positive,negative,positive
couchbase-java-client,15953,-24,-25,-60,-41,1,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,15954,-5,-5,-2,-2,1,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,15955,0,0,0,0,1,MERGED,undefined,invariant,invariant,invariant,invariant
couchbase-java-client,15956,2,2,22,13,3,MERGED,undefined,negative,negative,negative,negative
couchbase-java-client,15957,-3,-3,-22,-13,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,15958,1,2,6,6,1,MERGED,undefined,negative,negative,negative,negative
couchbase-java-client,16337,-7,-7,-20,-17,7,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,16338,0,0,1,-1,5,MERGED,yes,invariant,negative,invariant,positive
couchbase-java-client,16703,-2,-2,2,2,2,MERGED,yes,positive,negative,positive,negative
couchbase-java-client,16765,-6,-6,-29,-25,1,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,17742,-29,-30,-64,-45,1,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,18094,9,9,22,13,7,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,18197,-9,-9,-24,-15,5,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,18655,0,0,0,0,1,MERGED,undefined,invariant,invariant,invariant,invariant
couchbase-java-client,18757,5,5,7,2,1,MERGED,undefined,negative,negative,negative,negative
couchbase-java-client,18758,-7,-7,3,0,1,MERGED,undefined,positive,negative,positive,invariant
couchbase-java-client,18807,-30,-31,-83,-54,2,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,18808,-5,-5,-13,-11,4,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,19008,-10,-10,-47,-32,4,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,19012,1,1,-1,1,2,MERGED,yes,negative,positive,negative,negative
couchbase-java-client,19068,2,3,40,25,8,MERGED,yes,negative,negative,negative,negative
couchbase-java-client,19373,-16,-17,-73,-44,3,MERGED,undefined,positive,positive,positive,positive
couchbase-java-client,19605,0,0,0,0,1,MERGED,undefined,invariant,invariant,invariant,invariant
couchbase-java-client,19606,1,1,-11,-8,3,MERGED,undefined,negative,positive,negative,positive
couchbase-java-client,19674,2,2,-9,-3,3,MERGED,yes,negative,positive,negative,positive
couchbase-java-client,19675,-5,-5,-13,-6,3,MERGED,yes,positive,positive,positive,positive
couchbase-java-client,19676,0,1,17,14,3,MERGED,yes,invariant,negative,negative,negative
